"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"337991925749645312","Fri May 24 18:59:41 +0000 2013","0","@oddsketches Morgan Freeman becomes the new voice of Twilight and Winona becomes an alicorn.","338006406462590977","","crickochet_art","en","","0","1","0","https://x.com/Honda175/status/338006406462590977","189041592","Honda175"
"337988139694059520","Fri May 24 17:47:06 +0000 2013","0","@Fyre_flye When you said you wanted Twilight to become Celestia's successor did you mean you wanted her princess if not alicorn?","337988139694059520","","Fyre_flye","en","","0","0","0","https://x.com/WanWeengedAnjil/status/337988139694059520","233959834","WanWeengedAnjil"
"337836197441323008","Fri May 24 07:43:20 +0000 2013","0","Silly picture idea. Twilight trying to make another pony an alicorn in the astral thingie....but having trouble.","337836197441323008","","","en","Asheville, NC","0","0","0","https://x.com/Snapai/status/337836197441323008","19719369","Snapai"
"337773593716989952","Fri May 24 03:34:34 +0000 2013","0","@skynetmain I noticed while integrating myself in your fiction that Twilight Sparkle is an alicorn but the story was made before season 3??","337773593716989952","","WanderPhysicist","en","Jacksonville, FL","0","1","0","https://x.com/TheFlyingTacoZ/status/337773593716989952","447644201","TheFlyingTacoZ"
"337734355579445248","Fri May 24 00:58:39 +0000 2013","0","I hate this as much a Twilight being a fucking alicorn but I will try the move oh yeah watch (@YouTube http://t.co/4UjGTcS0Jp)","337734355579445248","","","en","","0","0","0","https://x.com/Kartoffel7h/status/337734355579445248","1041474030","Kartoffel7h"
"337705938502967296","Thu May 23 23:05:44 +0000 2013","3","Alicorn Twilight Sparkle and Sunset Shimmer #brony #mlp http://t.co/vBe9bkcpDj","337705938502967296","https://pbs.twimg.com/media/BK_FwwdCYAEOeGW.png","","en","/twr/ Twitter Board","0","2","2","https://x.com/MindlessPone/status/337705938502967296","581267437","MindlessPone"
"337703412940566528","Thu May 23 22:57:58 +0000 2013","0","@MLP_Mike_132550 Do you like when i post alicorn Twilight?","337703982925508608","","MLP_Mike_132550","en","/twr/ Twitter Board","0","1","0","https://x.com/MindlessPone/status/337703982925508608","581267437","MindlessPone"
"337690401647501312","Thu May 23 22:04:00 +0000 2013","4","Twilight Sparkle meets the world's only known male alicorn who turns out to be two chimps inside a horse costume.","337690401647501312","","","en","Equestria","0","0","3","https://x.com/MLP_S8/status/337690401647501312","602341895","MLP_S8"
"337675285585596416","Thu May 23 21:03:56 +0000 2013","9"," STOP IT TWILIGHT! IF YOU GO SUPER ALICORN THREE YOU WILL DESTROY THE WORLD! ","337675285585596416","","","en","","0","5","4","https://x.com/Saberspark/status/337675285585596416","546917764","Saberspark"
"337649380473577472","Thu May 23 19:21:00 +0000 2013","0","Photo: Twilight Sparkle Alicorn Nouveau HT Exclusive by *hezaa http://t.co/4ZCcYuyjAG","337649380473577472","","","en","Région Centre","0","0","0","https://x.com/UshiDeBray/status/337649380473577472","230493943","UshiDeBray"
"337630686460665857","Thu May 23 18:06:43 +0000 2013","1","Seeing Twilight as an alicorn still makes me feel incredibly small. #bronies","337630686460665857","","","en","Costa Rica","0","0","1","https://x.com/FaustXXXVII/status/337630686460665857","522233932","FaustXXXVII"
"337342405462355968","Wed May 22 23:02:18 +0000 2013","0","@LuuBrony Yes they wouldn't have a kingdom to rule ... And Twilight worked really hard to become an alicorn the other didn't ...","337342684182245377","","","en","Paris, France","0","0","0","https://x.com/DeepSuneimi/status/337342684182245377","521246730","DeepSuneimi"
"337022780925157376","Wed May 22 09:02:08 +0000 2013","0","@ZapAppleBloom @Ashfire2407 @SweetieBotatDD @MMeghanMcCarthy wait lying about Alicorn Twilight? Concerning what and when?","337131252362670081","","ZapAppleBloom","en","Minsk, Belarus","0","0","0","https://x.com/nhSnork/status/337131252362670081","205616670","nhSnork"
"337040439364427776","Wed May 22 03:06:08 +0000 2013","0","@Ashfire2407 Yes they did deny/lie that Alicorn Twilight would not happen which it did and they are probably denying/lying that EG is S4. :(","337041658656989184","","EmberMelodica","en","The Spencer Estate ","0","1","0","https://x.com/ZapAppleBloom/status/337041658656989184","944617548","ZapAppleBloom"
"337019213245984768","Wed May 22 01:51:07 +0000 2013","0","@Ashfire2407 @SweetieBotatDD @MMeghanMcCarthy Alicorn Twilight but I'm actually okay with that. Still I don't like it when people lie. :(","337022780925157376","","EmberMelodica","en","The Spencer Estate ","0","2","0","https://x.com/ZapAppleBloom/status/337022780925157376","944617548","ZapAppleBloom"
"337016156927975424","Wed May 22 01:24:48 +0000 2013","1","Twilight was a princess before she became an Alicorn. :D #brony #TwilightliciousTuesday http://t.co/31cJzraWTq","337016156927975424","https://pbs.twimg.com/media/BK1SaL3CYAAIoEF.jpg","","en","The Spencer Estate ","0","1","2","https://x.com/ZapAppleBloom/status/337016156927975424","944617548","ZapAppleBloom"
"336974484273782784","Tue May 21 22:40:12 +0000 2013","0","@ChefSandy @PonyRoy Just like how Unicon made everyone forget about Alicorn Twilight.","336974736145907712","","","en","Ohio ","0","0","0","https://x.com/NovalG/status/336974736145907712","16514834","NovalG"
